numrooms,squaremeters,numberoffloors,floor,price,district,street,builtyear,ceilinghight,isnewbuilding,seller,bathroomtype,residentialcomplex,repaired,city
1,46.6,13.0,9.0,24500000,алмалинский,,2024,3.0,False,крыша агент,,new life,,Алматы
1,40.0,10.0,9.0,25500000,алатауский,,2018,2.8,False,крыша агент,совмещенный,акниет,качественный ремонт,Алматы
3,116.3,,,91000000,бостандыкский,,2024,3.0,True,новостройка,2 с/у и более,etasa residence,,Алматы
3,92.71,,,36881614,,,2024,3.0,True,новостройка,2 с/у и более,nova 23,,Туздыбастау (Калинино)
5,113.8,5.0,1.0,95000000,бостандыкский,,1979,2.8,False,крыша агент,2 с/у и более,,,Алматы
3,58.0,13.0,10.0,39500000,ауэзовский,,2021,2.7,False,крыша агент,совмещенный,grand town,дргуой ремонт,Алматы
2,52.0,5.0,4.0,31000000,наурызбайский,,1990,2.5,False,крыша агент,раздельный,,,Алматы
1,40.0,12.0,11.0,42000000,бостандыкский,,2023,2.74,False,крыша агент,совмещенный,акварель,,Алматы
1,39.5,,,17806950,,,2023,2.7,True,новостройка,совмещенный,gate city,,Коянкус
3,104.12,,,135700000,медеуский,,2023,3.0,True,новостройка,2 с/у и более,koktobe city,,Алматы
1,37.71,,,22437450,алатауский,,2025,2.7,True,новостройка,совмещенный,arena city. sport,,Алматы
2,59.4,9.0,2.0,40000000,алмалинский,,1985,2.0,False,специалист,,,,Алматы
1,48.85,17.0,15.0,41000000,алмалинский,,2022,2.7,False,крыша агент,совмещенный,laketown,,Алматы
3,78.0,10.0,10.0,35000000,наурызбайский,,2020,2.7,False,хозяин недвижимости,,alma city,,Алматы
1,40.0,6.0,5.0,20999999,наурызбайский,,2022,2.7,False,крыша агент,совмещенный,alma city,хороший ремонт,Алматы
3,60.0,9.0,4.0,29500000,наурызбайский,,2023,2.8,False,хозяин недвижимости,раздельный,nurly dala,дргуой ремонт,Алматы
2,58.0,17.0,10.0,77000000,бостандыкский,,2023,3.0,False,хозяин недвижимости,,etasa residence,,Алматы
1,43.0,5.0,1.0,20500000,жетысуский,,1985,2.7,False,хозяин недвижимости,раздельный,,,Алматы
2,57.3,,,55581000,бостандыкский,,2024,3.0,True,новостройка,совмещенный,estet,,Алматы
3,70.0,,,30000000,,,2024,2.8,True,новостройка,,жана куат (кг),,Жана Куат
2,58.0,17.0,10.0,77000000,бостандыкский,,2023,3.0,False,хозяин недвижимости,,etasa residence,,Алматы
1,43.0,5.0,1.0,20500000,жетысуский,,1985,2.7,False,хозяин недвижимости,раздельный,,,Алматы
2,57.3,,,55581000,бостандыкский,,2024,3.0,True,новостройка,совмещенный,estet,,Алматы
